id,chart_date,target_rank,actual_rank,title,artist,peak_rank,weeks_on_chart
980,2/19/1977,74,,,,,
981,11/1/1986,97,99,Venus,Bananarama,1,19
982,11/2/1991,88,88,Unforgettable,Natalie Cole,14,17
983,11/30/1963,47,,,,,
984,7/6/1963,4,4,Hello Stranger,Barbara Lewis,3,14
985,8/10/1974,68,69,Dancing Machine,The Jacksons,2,22
986,1/22/1977,3,3,You Make Me Feel Like Dancing,Leo Sayer,1,21
987,12/9/1978,87,88,Baby I'm Burnin',Dolly Parton,25,14
988,6/5/1971,17,18,If,Bread,4,12
989,10/27/1979,51,,,,,
990,5/28/1966,36,36,Shapes Of Things,The Yardbirds,11,11
991,12/7/1974,79,78,The Bitch Is Back,Elton John,4,14
992,5/18/1985,22,24,Nightshift,Commodores,3,22
993,1/16/1971,27,25,There Goes My Everything,Elvis Presley,21,9
994,1/11/1986,77,,,,,
995,11/27/1982,3,2,Gloria,Laura Branigan,2,36
996,8/22/1970,35,35,I Want To Take You Higher,Ike & Tina Turner,34,18
997,1/25/1964,75,,,,,
998,10/9/1971,18,,,,,
999,4/21/1973,38,39,Hocus Pocus,Focus,9,19
1000,4/5/1986,35,,,,,
1001,11/11/1967,14,,,,,
1002,3/20/1982,19,18,Freeze-Frame,The J. Geils Band,4,16
1003,1/28/1978,3,1,Baby Come Back,Player,1,32
1004,8/24/1985,36,,,,,
1005,4/17/1961,73,,,,,
1006,6/26/1961,34,35,Three Hearts In A Tangle,Roy Drusky,35,16
1007,10/20/1990,25,25,Unchained Melody,Righteous Brothers,13,44
1008,1/11/1964,70,,,,,
1009,9/6/1975,93,95,The Millionaire,Dr. Hook,95,5
1010,9/13/1975,39,,,,,
1011,7/29/1989,46,44,I Drove All Night,Cyndi Lauper,6,15
1012,2/23/1991,14,13,All This Time,Sting,5,15
1013,2/11/1984,45,44,Time Will Reveal,Debarge,18,18
1014,7/24/1976,47,47,Play That Funky Music,Wild Cherry,1,25
1015,8/14/1961,16,,,,,
1016,4/16/1977,54,53,Disco Inferno,The Trammps,11,29
1017,7/19/1986,30,,,,,
1018,7/10/1965,85,83,In The Midnight Hour,Wilson Pickett,21,12
1019,12/16/1989,35,36,The Arms Of Orion,Prince (With Sheena Easton),36,14
1020,5/26/1973,64,65,Hey You! Get Off My Mountain,The Dramatics,43,12
1021,7/1/1967,60,60,Soul Dance Number Three,Wilson Pickett,55,5
1022,9/9/1978,90,92,Surrender,Cheap Trick,62,8
1023,11/28/1981,30,,,,,
1024,5/16/1960,93,93,Baby What You Want Me To Do,Jimmy Reed,37,14
1025,8/11/1973,64,64,Over The Hills And Far Away,Led Zeppelin,51,8
1026,9/8/1962,52,,,,,
1027,2/16/1985,70,72,Lucky,Greg Kihn,30,12
1028,5/11/1968,49,,,,,
1029,11/9/1991,69,,,,,
1030,11/15/1980,88,,,,,
1031,9/7/1985,1,3,We Don't Need Another Hero (Thunderdome),Tina Turner,2,18
1032,4/7/1973,50,52,Down And Out In New York City,James Brown,50,7
1033,11/18/1967,92,94,Goin' Back,The Byrds,89,3
1034,2/10/1973,93,91,Sugar Magnolia,Grateful Dead,91,2
1035,11/20/1971,30,,,,,
1036,3/11/1989,39,,,,,
1037,12/4/1961,44,44,Town Without Pity,Gene Pitney,13,16
1038,2/13/1982,80,,,,,
1039,9/2/1989,13,12,Girl I m Gonna Miss You,Milli Vanilli,1,21
1040,5/20/1978,24,24,Lay Down Sally,Eric Clapton,3,23
1041,6/9/1962,6,6,It Keeps Right On A-Hurtin',Johnny Tillotson,3,12
1042,1/22/1972,75,75,Oh Me Oh My (I'm A Fool For You Baby),Aretha Franklin,73,4
1043,9/10/1983,46,45,Is There Something I Should Know,Duran Duran,4,17
1044,1/7/1967,23,23,I've Passed This Way Before,Jimmy Ruffin,17,11
1045,4/15/1978,18,16,Count On Me,Jefferson Starship,8,14
1046,2/3/1962,92,94,Jamie,Eddie Holland,30,11
1047,12/17/1988,86,,,,,
1048,12/14/1968,22,23,Hooked On A Feeling,B.J. Thomas,5,16
1049,10/5/1963,41,,,,,
1050,7/5/1975,12,,,,,
1051,1/9/1982,46,46,My Kinda Lover,Billy Squier,45,10
1052,7/5/1980,93,94,Another Brick In The Wall (Part II),Pink Floyd,1,25
1053,3/8/1980,22,24,Heartbreaker,Pat Benatar,23,18
1054,12/14/1968,66,65,I Walk Alone,Marty Robbins,65,8
1055,9/21/1959,50,49,My Wish Came True,Elvis Presley,12,11
1056,9/8/1979,3,3,After The Love Has Gone,"Earth, Wind & Fire",2,17
1057,1/26/1963,96,,,,,
1058,8/21/1971,24,23,Ain't No Sunshine,Bill Withers,3,16
1059,10/20/1962,86,86,I've Been Everywhere,Hank Snow,68,8
1060,7/25/1960,44,,,,,
1061,2/22/1975,4,2,Best Of My Love,Eagles,1,19
1062,6/28/1986,14,15,Tuff Enuff,The Fabulous Thunderbirds,10,19
1063,6/8/1963,40,39,This Little Girl,Dion,21,8
1064,9/22/1979,5,6,Sad Eyes,Robert John,1,27
1065,10/20/1962,67,,,,,
1066,12/14/1985,44,44,My Hometown,Bruce Springsteen,6,15
1067,11/30/1985,75,76,Hurts To Be In Love,Gino Vannelli,57,12
1068,12/7/1974,35,34,Never Can Say Goodbye,Gloria Gaynor,9,17
1069,12/7/1974,24,24,Must Of Got Lost,The J. Geils Band,12,11
1070,2/3/1979,37,37,Every Time I Think Of You,The Babys,13,16
1071,8/6/1977,44,43,Rock And Roll Never Forgets,Bob Seger,41,8
1072,11/16/1959,17,17,Be My Guest,Fats Domino,8,14
1073,8/7/1976,42,42,Devil Woman,Cliff Richard,6,22
1074,6/28/1986,45,,,,,
1075,8/6/1966,100,,,,,
1076,9/2/1978,91,93,Can We Still Be Friends,Todd Rundgren,29,15
1077,3/4/1978,89,,,,,
1078,11/25/1978,41,41,There'll Never Be,Switch,36,13
1079,7/8/1972,47,,,,,
1080,10/21/1972,50,,,,,
1081,7/20/1963,63,,,,,
1082,7/17/1982,19,18,Take Me Down,Alabama,18,13
1083,6/21/1986,78,,,,,
1084,12/15/1984,11,10,All Through The Night,Cyndi Lauper,5,19
1085,6/6/1970,9,9,Make Me Smile,Chicago,9,14
1086,5/28/1977,65,64,Don't Leave Me This Way,Thelma Houston,1,24
1087,10/23/1965,72,71,There But For Fortune,Joan Baez,50,7
1088,10/7/1989,76,,,,,
1089,12/12/1987,89,90,Who Will You Run To,Heart,7,22
1090,6/19/1982,89,,,,,
1091,9/29/1962,44,44,He's A Rebel,The Crystals,1,18
1092,3/19/1988,68,,,,,
1093,11/30/1974,1,1,I Can Help,Billy Swan,1,18
1094,11/20/1961,91,92,There's No Other (Like My Baby),The Crystals,20,9
1095,7/9/1977,91,,,,,
1096,1/31/1970,56,56,Look-Ka Py Py,The Meters,56,10
1097,7/28/1979,32,31,After The Love Has Gone,"Earth, Wind & Fire",2,17
1098,3/9/1985,17,15,Private Dancer,Tina Turner,7,18
1099,6/16/1962,46,46,Where Are You,Dinah Washington,36,10
1100,12/23/1967,24,23,If I Could Build My Whole World Around You,"Marvin Gaye,Tammi Terrell",10,11
1101,4/28/1962,70,71,(I was) Born To Cry,Dion,42,7
1102,11/27/1982,13,12,Rock This Town,Stray Cats,9,21
1103,3/24/1962,31,32,The Twist,Chubby Checker,1,38
1104,3/7/1987,33,32,What You Get Is What You See,Tina Turner,13,14
1105,9/15/1973,62,,,,,
1106,4/7/1990,76,74,Bust A Move,Young MC,7,39
1107,12/11/1976,49,49,"Ob-La-Di, Ob-La-Da",The Beatles,49,7
1108,1/5/1963,99,,,,,
1109,9/10/1988,56,58,It Takes Two,Rob Base,36,16
1110,12/9/1972,79,77,Reelin' & Rockin',Chuck Berry,27,13
1111,8/17/1963,99,98,Land Of 1000 Dances,Chris Kenner,77,7
1112,12/6/1980,33,33,Never Knew Love Like This Before,Stephanie Mills,6,25
1113,7/11/1960,66,65,Lonely Weekends,Charlie Rich,22,21
1114,1/11/1969,3,3,Wichita Lineman,Glen Campbell,3,15
1115,10/6/1979,57,,,,,
1116,4/10/1961,30,31,Ebony Eyes,The Everly Brothers,8,12
1117,12/9/1967,49,47,If I Could Build My Whole World Around You,"Marvin Gaye,Tammi Terrell",10,11
1118,10/10/1964,47,45,Funny Girl,Barbra Streisand,44,9
1119,4/20/1985,96,94,Will The Wolf Survive,Los Lobos,78,5
1120,5/9/1960,42,43,Big Iron,Marty Robbins,26,10
1121,11/26/1966,18,17,A Hazy Shade Of Winter,Simon & Garfunkel,13,9
1122,9/8/1990,64,,,,,
1123,6/27/1960,34,34,Lonely Weekends,Charlie Rich,22,21
1124,12/6/1975,52,52,Carry Me,"David Crosby,Graham Nash",52,6
1125,9/18/1965,25,26,Treat Her Right,Roy Head,2,11
1126,7/26/1986,3,3,Invisible Touch,Genesis,1,17
1127,2/13/1971,12,13,One Less Bell To Answer,The 5th Dimension,2,19
1128,12/25/1976,35,,,,,
1129,12/17/1988,26,,,,,
1130,1/19/1980,43,,,,,
1131,9/9/1967,24,,,,,
1132,7/6/1963,11,12,Those Lazy-Hazy-Crazy Days Of Summer,"Nat ""King"" Cole",6,12
1133,3/8/1980,15,15,Cruisin',Smokey Robinson,4,25
1134,8/14/1961,51,51,Mighty Good Lovin',The Miracles,51,6
1135,9/25/1971,40,41,Loving Her Was Easier (Than Anything I'll Ever Do Again),Kris Kristofferson,26,13
1136,9/20/1969,8,7,Get Together,The Youngbloods,5,25
1137,3/30/1991,48,,,,,
1138,12/18/1976,43,42,Torn Between Two Lovers,Mary MacGregor,1,22
1139,10/11/1975,71,70,Are You Sure Hank Done It This Way,Waylon Jennings,60,9
1140,2/3/1990,100,100,Oh Father,Madonna,20,13
1141,12/7/1963,26,26,Talk Back Trembling Lips,Johnny Tillotson,7,13
1142,9/19/1964,12,12,A Hard Day's Night,The Beatles,1,13
1143,3/21/1981,9,9,I Love A Rainy Night,Eddie Rabbitt,1,28
1144,9/30/1989,38,,,,,
1145,11/16/1991,74,74,Tell Me What You Want Me To Do,Tevin Campbell,6,25
1146,11/16/1968,10,9,"Abraham, Martin And John",Dion,4,14
1147,4/15/1972,10,10,A Cowboys Work Is Never Done,Sonny & Cher,8,13
1148,1/28/1989,84,85,I Don't Want Your Love,Duran Duran,4,16
1149,8/18/1958,99,100,Going To Chicago Blues,Count Basie,100,1
1150,1/29/1983,84,85,Rock This Town,Stray Cats,9,21
1151,3/26/1966,9,8,(You're My) Soul And Inspiration,The Righteous Brothers,1,13
1152,1/19/1963,36,37,Love Came To Me,Dion,10,11
1153,12/11/1965,27,26,The Sounds Of Silence,Simon & Garfunkel,1,14
1154,5/28/1966,99,99,Think Of Me,Buck Owens,74,5
1155,3/18/1978,27,25,Running On Empty,Jackson Browne,11,17
1156,9/17/1966,75,,,,,
1157,10/22/1977,95,95,Easy,Commodores,4,22
1158,4/7/1990,81,,,,,
1159,6/12/1976,64,,,,,
1160,8/24/1959,54,55,I Got Stripes,Johnny Cash,43,11
1161,3/27/1982,34,34,Daddy's Home,Cliff Richard,23,13
1162,12/1/1979,29,28,Cruisin',Smokey Robinson,4,25
1163,4/14/1973,73,73,My Love,Paul McCartney,1,18
1164,6/19/1976,87,88,Ten Percent,Double Exposure,54,9
1165,10/11/1969,83,,,,,
1166,2/2/1959,21,19,I Cried A Tear,LaVern Baker,6,21
1167,4/7/1984,61,61,Rebel Yell,Billy Idol,46,14
1168,7/24/1976,75,77,Ode To Billie Joe,Bobbie Gentry,1,20
1169,8/24/1991,26,26,"Right Here, Right Now",Jesus Jones,2,25
1170,5/25/1968,32,33,Summertime Blues,Blue Cheer,14,13
1171,3/19/1977,4,4,Night Moves,Bob Seger,4,21
1172,10/5/1985,31,,,,,
1173,7/26/1986,58,59,Live To Tell,Madonna,1,18
1174,2/25/1978,19,20,Happy Anniversary,Little River Band,16,18
1175,8/18/1990,9,,,,,
1176,8/15/1960,67,,,,,
1177,7/5/1980,6,6,Against The Wind,Bob Seger,5,17
1178,11/29/1969,49,51,I Want You Back,The Jacksons,1,19
1179,6/15/1968,81,,,,,
1180,3/27/1971,66,68,Lucky Man,"Emerson, Lake & Palmer",48,19
1181,6/4/1966,14,14,Kicks,Paul Revere & The Raiders,4,14
1182,7/22/1967,70,70,My World Fell Down,Sagittarius,70,5
1183,4/27/1985,65,64,Private Dancer,Tina Turner,7,18
1184,1/8/1977,91,,,,,
1185,2/4/1989,70,,,,,
1186,1/4/1969,54,53,"Baby, Baby Don't Cry",The Miracles,8,14
1187,12/8/1984,47,,,,,
1188,4/23/1988,11,11,Man In The Mirror,Michael Jackson,1,16
1189,12/12/1960,75,,,,,
1190,1/24/1976,54,53,Only Sixteen,Dr. Hook,6,22
1191,5/6/1972,43,,,,,
1192,2/18/1967,24,26,Standing In The Shadows Of Love,Four Tops,6,10
1193,12/12/1964,30,29,She's A Woman,The Beatles,4,9
1194,10/23/1971,40,42,The Year That Clayton Delaney Died,Tom T. Hall,42,12
1195,1/12/1991,20,,,,,
1196,4/6/1985,12,,,,,
1197,11/19/1983,50,48,I Won't Stand In Your Way,Stray Cats,35,12
1198,3/4/1972,21,,,,,
1199,10/5/1963,12,,,,,
1200,10/29/1977,78,76,Echoes Of Love,The Doobie Brothers,66,7
1201,9/2/1978,1,2,Three Times A Lady,Commodores,1,20
1202,11/13/1961,50,,,,,
1203,7/31/1982,96,95,Island Of Lost Souls,Blondie,37,10
1204,12/22/1979,75,76,Heartbreaker,Pat Benatar,23,18
1205,7/26/1975,58,,,,,
1206,4/5/1975,89,,,,,
1207,3/11/1978,76,,,,,
1208,3/19/1983,52,50,Even Now,Bob Seger,12,12
1209,6/21/1986,87,,,,,
1210,4/21/1962,86,86,Lovers Who Wander,Dion,3,12
1211,3/7/1964,14,13,You Don't Own Me,Lesley Gore,2,13
1212,9/18/1965,23,22,Baby Don't Go,Sonny & Cher,8,12
1213,3/20/1965,40,39,I Don't Want To Spoil The Party,The Beatles,39,6
1214,5/1/1961,60,,,,,
1215,3/20/1965,79,,,,,
1216,4/30/1988,6,,,,,
1217,9/23/1978,99,98,Last Dance,Donna Summer,3,21
1218,6/30/1973,20,20,Behind Closed Doors,Charlie Rich,15,19
1219,7/2/1966,74,,,,,
1220,6/6/1970,6,6,Get Ready,Rare Earth,4,20
1221,12/2/1967,83,82,I'm In Love,Wilson Pickett,45,10
1222,3/15/1980,58,59,Carrie,Cliff Richard,34,11
1223,7/23/1983,28,29,I'll Tumble 4 Ya,Culture Club,9,16
1224,10/6/1958,79,,,,,
1225,1/23/1965,84,85,I've Got A Tiger By The Tail,Buck Owens,25,9
1226,2/18/1989,21,22,All She Wants Is,Duran Duran,22,13
1227,9/5/1970,5,6,25 Or 6 To 4,Chicago,4,20
1228,12/13/1975,5,5,Saturday Night,Bay City Rollers,1,17
1229,6/19/1971,68,67,You've Got A Friend,"Roberta Flack,Donny Hathaway",29,12
1230,8/10/1985,86,,,,,
1231,6/28/1975,55,,,,,
1232,11/3/1979,29,28,Heaven Must Have Sent You,Bonnie Pointer,11,23
1233,4/17/1971,84,,,,,
1234,12/13/1986,24,24,Amanda,Boston,1,18
1235,9/22/1973,81,81,For Ol' Times Sake,Elvis Presley,41,9
1236,11/10/1958,24,,,,,
1237,7/5/1986,34,34,Something About You,Level 42,7,27
1238,6/22/1985,82,,,,,
1239,1/9/1961,6,5,Will You Love Me Tomorrow,The Shirelles,1,19
1240,11/18/1978,17,17,Alive Again,Chicago,14,13
1241,3/16/1963,94,,,,,
1242,5/20/1978,77,75,Last Dance,Donna Summer,3,21
1243,1/4/1960,95,,,,,
1244,10/30/1965,33,32,Help!,The Beatles,1,13
1245,10/20/1973,10,10,Paper Roses,Marie Osmond,5,16
1246,5/22/1982,88,86,Happy Man,Greg Kihn Band,62,7
1247,10/31/1964,40,40,20-75,Willie Mitchell,31,10
1248,6/30/1962,10,12,That's Old Fashioned (That's The Way Love Should Be),The Everly Brothers,9,9
1249,9/25/1976,20,21,Rock'n Me,Steve Miller Band,1,18
1250,7/16/1977,83,85,Baby Don't Change Your Mind,Gladys Knight & The Pips,52,11
1251,4/27/1968,73,,,,,
1252,8/18/1990,81,,,,,
1253,10/20/1962,15,15,All Alone Am I,Brenda Lee,3,15
1254,10/22/1977,77,,,,,
1255,10/17/1964,1,,,,,
1256,2/20/1982,26,26,Abacab,Genesis,26,14
1257,1/18/1975,81,80,Lovin' You,Minnie Riperton,1,18
1258,12/27/1980,3,4,Lady,Kenny Rogers,1,25
1259,3/23/1968,99,,,,,
1260,9/14/1991,61,62,"Right Here, Right Now",Jesus Jones,2,25
1261,9/26/1970,38,38,El Condor Pasa,Simon & Garfunkel,18,11
1262,5/10/1969,75,,,,,
1263,4/4/1960,79,80,Baby What You Want Me To Do,Jimmy Reed,37,14
1264,11/3/1973,8,,,,,
1265,10/1/1966,51,51,If I Were A Carpenter,Bobby Darin,8,11
1266,10/4/1969,7,6,Honky Tonk Women,The Rolling Stones,1,15
1267,2/23/1974,43,42,"Rock And Roll, Hoochie Koo",Rick Derringer,23,14
1268,3/17/1973,96,97,Frankenstein,Edgar Winter,1,20
1269,11/17/1984,36,35,Who Wears These Shoes?,Elton John,16,14
1270,4/28/1990,78,77,Lambada,Kaoma,46,12
1271,7/5/1980,3,3,The Rose,Bette Midler,3,25
1272,12/12/1964,25,25,Sidewalk Surfin',Jan & Dean,25,8
1273,11/10/1979,48,47,We Don't Talk Anymore,Cliff Richard,7,20
1274,10/6/1984,5,5,She Bop,Cyndi Lauper,3,18
1275,9/14/1963,11,,,,,
1276,5/27/1989,21,22,Baby Don't Forget My Number,Milli Vanilli,1,21
1277,5/24/1986,37,36,American Storm,Bob Seger,13,14
1278,2/23/1963,46,,,,,
1279,1/14/1984,26,26,Let The Music Play,Shannon,8,24
1280,6/12/1971,8,8,Treat Her Like A Lady,Cornelius Brothers & Sister Rose,3,18
1281,7/30/1988,30,29,When It's Love,Van Halen,29,2
1282,2/5/1977,49,49,Crackerbox Palace,George Harrison,19,11
1283,2/11/1967,17,18,Standing In The Shadows Of Love,Four Tops,6,10
1284,1/20/1979,85,,,,,
1285,12/20/1980,68,68,Upside Down,Diana Ross,1,29
1286,4/25/1981,31,30,Sukiyaki,A Taste Of Honey,3,24
1287,8/24/1959,69,70,Johnny Reb,Johnny Horton,54,8
1288,9/6/1986,48,,,,,
1289,7/27/1991,80,80,There She Goes,The La's,49,10
1290,4/22/1967,2,2,Happy Together,The Turtles,1,15
1291,7/24/1982,86,,,,,
1292,3/9/1963,17,19,He's So Fine,The Chiffons,1,15
1293,2/2/1991,95,,,,,
1294,3/10/1979,93,,,,,
1295,3/20/1982,84,,,,,
1296,7/2/1983,34,36,White Wedding,Billy Idol,36,13
1297,3/13/1961,7,9,Ebony Eyes,The Everly Brothers,8,12
1298,2/20/1988,52,,,,,
1299,5/31/1969,100,,,,,
1300,6/29/1991,84,83,Where The Streets Have No Name,Pet Shop Boys,72,7
